id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-10-13T15:55:28;RAM Focused;PAID;CASH_ON_DELIVERY;2020-10-14T00:17:35;64379;Australia 1080p Intranet;1
2;2020-10-13T13:09:44;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-10-13T17:05:25;8068;Baby;2
3;2020-10-13T22:51:32;monitor;CANCELLED;CREDIT_CARD;2020-10-13T14:42:54;97394;Rubber synergy program;3
4;2020-10-13T11:25:34;EXE parse strategic;CANCELLED;PAYPAL;2020-10-13T15:30:44;2286;HTTP;4
5;2020-10-13T07:40:45;black Awesome;PAID;CASH_ON_DELIVERY;2020-10-13T07:42:39;49531;Agent SDD auxiliary;5
6;2020-10-13T18:13:19;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-10-13T10:05:29;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2020-10-13T20:46:55;back up Toys;ISSUED;PAYPAL;2020-10-13T23:42:34;10756;Arizona Awesome Fresh Soap system;7
8;2020-10-13T17:19:05;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-10-13T17:08:08;50263;deploy;8
9;2020-10-13T11:09:03;Credit Card Account;CANCELLED;CREDIT_CARD;2020-10-13T21:32:12;308;payment Fantastic Fresh Soap;9
10;2020-10-13T21:33:26;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-10-14T01:19:15;94911;Granite Rubber Pizza;10
